Coefficient,MAE,ExpVar
1.2911893782630073,5.531090105110688,0.9239026961723045
0.300407122681313,5.531090105110688,0.9239026961723045
0.1017709704102511,5.531090105110688,0.9239026961723045
0.3731847291381146,5.531090105110688,0.9239026961723045
0.7713946333673009,5.531090105110688,0.9239026961723045
1.5786617070721534,5.531090105110688,0.9239026961723045
1.3808218390392526,5.531090105110688,0.9239026961723045
0.3780142492728126,5.531090105110688,0.9239026961723045
1.266571723001362,5.531090105110688,0.9239026961723045
0.7175923631151881,5.531090105110688,0.9239026961723045
1.6658042518956766,5.531090105110688,0.9239026961723045
0.14916625101705505,5.531090105110688,0.9239026961723045
0.23262868847402224,5.531090105110688,0.9239026961723045
0.438417157465983,5.531090105110688,0.9239026961723045
0.4028426245098268,5.531090105110688,0.9239026961723045
0.8296411716826771,5.531090105110688,0.9239026961723045
0.31047724842755486,5.531090105110688,0.9239026961723045
1.9827076148453329,5.531090105110688,0.9239026961723045
19.893397305880132,5.531090105110688,0.9239026961723045
0.09540706524527032,5.531090105110688,0.9239026961723045
0.6063070233214483,5.531090105110688,0.9239026961723045
0.7666226178091291,5.531090105110688,0.9239026961723045
